Name	Suburb	Stores Number	Location
PACIFIC WERRIBEE PLAZA Victoria	 Werribee	 stores: 288	 GPS: -37.875219,144.679643
PAKENHAM CENTRAL MARKETPLACE Victoria	 Pakenham	 stores: 46	 GPS: -38.0775,145.483931
PAKENHAM PLACE SHOPPING CENTRE Victoria	 Pakenham	 stores: 23	 GPS: -38.079019,145.480817
PAKINGTON STRAND Victoria	 Geelong		 GPS: -38.137503,144.347662
PAKINGTON STRAND SHOPPING CENTRE Victoria	 Geelong	 stores: 6	 GPS: -38.136985,144.347624
PARKDALE PLAZA Victoria	 Parkdale	 stores: 11	 GPS: -37.997395,145.084297
PARKHILL PLAZA SHOPPING CENTRE Victoria	 Berwick	 stores: 21	 GPS: -38.014211,145.322697
PARKMORE SHOPPING CENTRE Victoria	 Keysborough	 stores: 128	 GPS: -37.992893,145.173138
PINEWOOD SHOPPING VILLAGE Victoria	 Mount Waverley	 stores: 69	 GPS: -37.892422,145.145241
PRAN CENTRAL SHOPPING CENTRE Victoria	 Prahran	 stores: 36	 GPS: -37.846954,144.993643
PRESTON MARKET Victoria	 Preston	 stores: 114	 GPS: -37.739352,145.00178
QUEEN VICTORIA MARKET Victoria	 Melbourne	 stores: 101	 GPS: -37.807962,144.955688
QV - QUEEN VICTORIA VILLAGE Victoria	 Melbourne	 stores: 116	 GPS: -37.810696,144.965716
RINGWOOD SQUARE SHOPPING CENTRE Victoria	 Ringwood	 stores: 13	 GPS: -37.815398,145.222226
RITCHIES VILLAGE CENTRE Victoria	 Mount Eliza	 stores: 79	 GPS: -38.185074,145.089676
ROSEBUD PLAZA Victoria	 Rosebud	 stores: 60	 GPS: -38.361526,144.891378
ROXBURGH PARK SHOPPING CENTRE Victoria	 Roxburgh Park	 stores: 75	 GPS: -37.639405,144.932287
ROYAL ARCADE Victoria	 Melbourne	 stores: 39	 GPS: -37.814699,144.963505
RUNWAY PLAZA Victoria	 Melbourne	 stores: 15	 GPS: -37.724585,144.893951
SHEPPARTON MARKETPLACE Victoria	 Shepparton	 stores: 43	 GPS: -36.387641,145.423834
SPENCER OUTLET CENTRE Victoria	 Melbourne	 stores: 111	 GPS: -37.816219,144.952153
SPENCER STREET FASHION STATION Victoria	 Melbourne	 stores: 12	 GPS: -37.81898,144.954095
SPRINGVALE HOMEMAKER CENTRE Victoria	 Springvale	 stores: 28	 GPS: -37.927444,145.143394
ST HELENA MARKETPLACE Victoria	 St Helena	 stores: 13	 GPS: -37.685088,145.135792
STOCKLAND HIGHLANDS SHOPPING CENTRE Victoria	 Craigieburn	 stores: 24	 GPS: -37.5751264,144.9201082
STOCKLAND POINT COOK SHOPPING CENTRE Victoria	 Point Cook	 stores: 137	 GPS: -37.883369895772,144.73538783062
STOCKLAND THE PINES Victoria	 Doncaster	 stores: 104	 GPS: -37.763554,145.168284
STOCKLAND TOORONGA SHOPPING CENTRE Victoria	 Glen Iris	 stores: 27	 GPS: -37.845596113968,145.04558170316
STOCKLAND WENDOUREE Victoria	 Ballart	 stores: 106	 GPS: -37.53431,143.823885
STRATH VILLAGE SHOPPING CENTRE Victoria	 Bendigo	 stores: 36	 GPS: -36.774541,144.305047
STUD PARK Victoria	 Rowville	 stores: 57	 GPS: -37.920638,145.237115
SUNBURY SQUARE SHOPPING CENTRE Victoria	 Sunbury	 stores: 44	 GPS: -37.577542,144.729432
TARGET CENTRE MELBOURNE Victoria	 Melbourne	 stores: 21	 GPS: -37.813077,144.966529
TARNEIT GARDENS SHOPPING CENTRE Victoria	 Tarneit	 stores: 20	 GPS: -37.839616,144.673555
THE COMO CENTRE Victoria	 South Yarra	 stores: 21	 GPS: -37.838366,144.996065
THE GATEWAY Victoria	 Warrnambool	 stores: 41	 GPS: -38.381549,142.520583
THE GLEN SHOPPING CENTRE Victoria	 Glen Waverley	 stores: 184	 GPS: -37.87639,145.165638
THE JAM FACTORY Victoria	 South Yarra	 stores: 14	 GPS: -37.842618,144.995792
THE LOCAL VILLAGE Victoria	 Carrum Downs	 stores: 10	 GPS: -38.0886367,145.1825171
THE MALL BORONIA Victoria	 Boronia	 stores: 37	 GPS: -37.860342,145.286693
THE PARAMOUNT RETAIL CENTRE Victoria	 Melbourne	 stores: 49	 GPS: -37.811333,144.969441
THE STRAND MELBOURNE Victoria	 Melbourne	 stores: 17	 GPS: -37.813277,144.962665
