postcode,SA2_maincode_2021
3116,211051275
3630,216031594
3631,216031594
3630,216031416
3631,216031416
3156,211011255
3766,211051282
3786,211051282
3788,211051282
3787,211051282
3767,211051282
3792,211051282
3791,211051282
3793,211051282
3660,204011059
3775,211051276
3777,211051276
3139,211051285
3770,211051285
3779,204011054
3159,211051274
3160,211051274
3174,212041316
3175,212041316
3805,212031457
3550,202011020
3765,211051280
3766,211051280
3350,201011001
3358,201011006
3352,201011006
3356,201011006
3351,201011006
3911,214021385
3912,214021385
3933,214021385
3913,214021385
3927,214021385
3196,208031187
3793,211051279
3082,209041221
3818,205011076
3816,205011076
3984,205031093
3500,215021469
3280,217041479
3283,217041479
3023,213011329
3212,203021043
3213,203021043
3211,203021043
3429,210041240
3037,213011331
3021,213011331
3550,202011021
3551,202011025
3550,202011025
3038,213011340
3556,202011019
3551,202011019
3338,213041573
3214,203021486
3213,203021486
3269,217031475
3268,217031475
3270,217031475
3266,217031475
3265,217031475
3342,201021009
3340,201021009
3341,201021009
3556,202031032
3557,202031032
3551,202031032
3558,202031032
3352,201011008
3355,201011008
3350,201011483
3223,203031051
3517,202031033
3571,202031033
3516,202031033
3518,202031033
3537,202031033
3441,210021233
3440,210021233
3432,210021235
3434,210021235
3435,210021235
3756,210021235
3222,203031048
3331,203011034
3616,216031419
3610,216031419
3620,216011407
3621,216011407
3622,216011407
3631,216031593
3630,216031593
3629,216031415
3352,201021010
3363,201021010
3364,201021010
3370,201021010
3764,204011060
3659,204011060
3660,204011060
3521,204011060
3978,212011548
3810,212011548
3981,212011548
3809,212011548
3984,212011548
3814,212011547
3815,212011547
3812,212011547
3442,202021031
3444,202021030
3446,202021030
3608,204011058
3664,204011058
3665,204011058
3666,204011058
3139,211051286
3797,211051286
3156,211051284
3160,211051284
3158,211051284
3154,211011449
3796,211051283
3980,212031308
3912,212031308
3844,205041494
3844,205041493
3856,205041098
3825,205041098
3854,205041098
3804,212021299
3805,212021299
3806,212021299
3820,205011079
3821,205011079
3842,205041094
3870,205041094
3922,205031091
3226,203031490
3242,217031473
3249,217031473
3240,203011036
3241,203011036
3221,203011036
3225,203031052
3350,201011002
3515,202021026
3551,202021026
3555,202021026
3453,202021026
3551,202011023
3551,202021029
3551,216011410
3612,216011410
3551,202011024
3515,202021028
3888,205021085
3886,205021085
3890,205021085
3885,205021085
3875,205021081
3909,205021084
3904,205021084
3903,205021084
3880,205021086
3875,205021086
3878,205021086
3864,205021082
3902,205021082
3875,205021082
3885,205021082
3882,205021082
3898,205021082
3865,205021082
3895,205021082
3672,204021063
3726,204021064
3670,204021064
3673,204021064
3725,204021064
3646,204021064
3672,204021064
3675,204021067
3566,216011408
3563,216011408
3562,216011408
3561,216011409
3293,217041477
3274,217041477
3270,217041477
3272,217041477
3265,217041477
3281,217041477
3276,217041477
3277,217041477
3278,217041477
3273,217041477
3300,217011421
3301,217011421
3302,217011423
3315,217011423
3293,217011423
3294,217011423
3289,217011423
3314,217011423
3301,217011423
3312,217011423
3289,217041478
3286,217041478
3282,217041478
3284,217041478
3283,217041478
3304,217041478
3287,217041478
3285,217041478
3315,217011420
3311,217011420
3304,217011420
3285,217011420
3303,217011420
3292,217011420
3305,217011420
3280,217041480
3277,217041480
3500,215021470
3498,215021470
3400,215011388
3401,215011388
3490,215021398
3494,215021398
3509,215021398
3496,215021399
3505,215021396
3824,205011078
3821,205011078
3823,205011078
3840,205041096
3847,205051102
3858,205051102
3305,217011422
3851,205051100
3862,205051100
3860,205051101
3862,205051101
3631,216031418
3633,216031418
3585,215031404
3595,215031405
3589,215031405
3594,215031405
3584,215031405
3588,215031405
3531,215031400
3950,205031089
3264,217031474
3690,204031073
3690,204031492
3690,204031491
3691,204031491
3749,204031075
3691,204031075
3683,204031070
3688,204031070
3749,204031070
3567,215031401
3350,201011481
3350,201011482
3351,201031015
3350,201011005
3321,203011035
3335,201021012
3352,201021012
3737,204031071
3465,201031016
3763,209031211
3373,201031014
3472,201031017
3730,216021414
3728,216021412
3730,216021412
3461,201021011
3460,201021011
3458,201021011
3364,201021011
3390,215011394
3396,215011394
3388,215011394
3636,216021413
3260,217031471
3700,204031072
3701,204031072
3747,204031068
