,bench,cafe,childcare,fast_food,kindergarten,parking,restaurant,place_of_worship,school,university,garden,park,playground,pitch,surburb,postcode
175,19.0,13.0,1.0,27.0,12.0,177.0,23.0,13.0,24.0,1.0,3.0,133.0,57.0,135.0,irymple,3498
176,22.0,21.0,3.0,22.0,4.0,158.0,37.0,12.0,9.0,,2.0,23.0,15.0,54.0,golden square,3555
177,14.0,5.0,1.0,5.0,10.0,116.0,7.0,,12.0,,2.0,155.0,35.0,108.0,mulgrave,3170
178,75.0,11.0,3.0,28.0,7.0,256.0,4.0,7.0,30.0,,28.0,280.0,45.0,122.0,dandenong,3175
179,52.0,4.0,1.0,11.0,2.0,200.0,8.0,7.0,14.0,2.0,60.0,112.0,36.0,70.0,point cook,3030
180,,,,4.0,1.0,78.0,,,7.0,,,81.0,4.0,32.0,tarneit,3029
181,59.0,2.0,2.0,7.0,,63.0,1.0,2.0,5.0,,365.0,212.0,28.0,47.0,werribee,3030
182,1.0,,,,,28.0,,,5.0,,1.0,16.0,8.0,28.0,truganina,3029
183,,1.0,,1.0,,14.0,,1.0,2.0,,,16.0,8.0,30.0,doreen,3754
184,4.0,3.0,,5.0,1.0,74.0,2.0,3.0,6.0,,1.0,11.0,7.0,28.0,melton south,3338
185,,,,,,,,,,,,,,1.0,oak park,3046
186,,,,2.0,2.0,34.0,3.0,,2.0,,,21.0,1.0,12.0,braybrook,3019
187,,,,,,,,,,,,,,,plumpton,3335
188,42.0,,2.0,2.0,,73.0,,,3.0,,,80.0,9.0,8.0,manor lakes,3024
189,,,1.0,2.0,3.0,21.0,,2.0,4.0,,,25.0,7.0,31.0, ,0
190,17.0,2.0,,9.0,,59.0,7.0,,10.0,,,44.0,11.0,45.0,wollert,3750
191,1.0,4.0,,4.0,2.0,49.0,1.0,,2.0,,,11.0,4.0,16.0,keilor downs,3038
192,2.0,,1.0,3.0,1.0,31.0,4.0,2.0,4.0,,,50.0,11.0,25.0,caroline springs,3023
193,30.0,1.0,,5.0,4.0,27.0,1.0,,3.0,,,17.0,9.0,37.0,derrimut,3026
194,,,,,1.0,4.0,,1.0,1.0,,,8.0,2.0,7.0,wyndham vale,3024
195,,,,,,,,,,,,,,,airport west,3042
196,83.0,6.0,4.0,21.0,2.0,186.0,11.0,,3.0,,134.0,25.0,22.0,29.0,rockbank,3335
197,49.0,4.0,4.0,12.0,13.0,110.0,10.0,3.0,12.0,,12.0,86.0,39.0,71.0,glenroy,3046
198,10.0,2.0,,,1.0,4.0,,,1.0,,,3.0,4.0,2.0,cranbourne west,3977
199,,1.0,,,,3.0,,,1.0,,,5.0,,1.0,pakenham,3810
200,,1.0,,5.0,2.0,53.0,1.0,4.0,10.0,,,68.0,26.0,54.0,travancore,3032
201,,1.0,,,,21.0,2.0,,1.0,,7.0,10.0,3.0,6.0,tootgarook,3941
202,11.0,2.0,1.0,1.0,3.0,28.0,5.0,,4.0,,3.0,17.0,8.0,43.0,endeavour hills,3802
203,6.0,9.0,,4.0,1.0,65.0,2.0,2.0,1.0,,,26.0,15.0,18.0,werribee south,3030
204,,,,,,,,,,,,,,,keilor,3036
205,,,,1.0,,8.0,1.0,1.0,,,4.0,3.0,,5.0,tullamarine,3043
206,36.0,,,2.0,1.0,21.0,,1.0,5.0,,,40.0,12.0,5.0,berwick,3806
207,3.0,1.0,,1.0,,35.0,,,,,22.0,,,17.0,bulla,3428
208,,,,,,,,,,,,,,,avondale heights,3034
209,,,,,,1.0,,,,,,,,,ravenhall,3023
210,,,,1.0,,,1.0,,,,,,,,roxburgh park,3064
211,14.0,1.0,,6.0,1.0,29.0,5.0,,1.0,,,17.0,9.0,11.0,broadmeadows,3047
212,2.0,2.0,1.0,1.0,2.0,68.0,5.0,,4.0,,,14.0,6.0,6.0,st albans,3021
213,87.0,4.0,,2.0,2.0,40.0,1.0,7.0,8.0,,,59.0,29.0,38.0,westmeadows,3049
214,8.0,2.0,,7.0,3.0,32.0,7.0,8.0,6.0,,1.0,19.0,12.0,38.0,laverton,3028
215,1.0,2.0,1.0,2.0,1.0,14.0,2.0,,5.0,,,6.0,4.0,34.0,keilor east,3033
216,,,,,,,2.0,,,,,2.0,,,fawkner,3060
217,,,,1.0,,28.0,,1.0,9.0,,,30.0,7.0,9.0,aberfeldie,3040
218,,,,,,,,,,,,,,,melbourne st kilda road,3004
219,3.0,,,,,4.0,,,,,1.0,5.0,3.0,3.0,sunshine west,3020
220,1.0,2.0,,5.0,2.0,37.0,10.0,3.0,4.0,,8.0,13.0,5.0,9.0,carlton south,3053
221,10.0,2.0,1.0,1.0,1.0,12.0,,2.0,4.0,,,23.0,8.0,20.0,williamstown north,3016
222,3.0,4.0,,3.0,1.0,8.0,5.0,5.0,3.0,,,5.0,6.0,10.0,watsonia,3087
223,,,,3.0,2.0,19.0,,1.0,4.0,,,13.0,7.0,23.0,strathmore,3041
224,,,,,,,,,,,,,,,euroa,3666
225,9.0,16.0,,3.0,1.0,48.0,7.0,1.0,3.0,,1.0,36.0,19.0,23.0,gladstone park,3043
226,1.0,5.0,,4.0,1.0,42.0,4.0,1.0,,1.0,1.0,8.0,2.0,1.0,huntingdale,3166
227,,,,,,,,,,,,,,,coburg north,3058
228,,,,,,,,,,,,,,,notting hill,3168
229,,1.0,,1.0,,29.0,1.0,,1.0,,,6.0,3.0,7.0,williams landing,3027
230,17.0,7.0,6.0,26.0,1.0,232.0,8.0,11.0,29.0,,17.0,176.0,75.0,156.0,altona,3018
231,62.0,4.0,,3.0,2.0,31.0,3.0,3.0,5.0,,1.0,154.0,16.0,44.0,brooklyn,3012
232,1.0,3.0,,4.0,2.0,58.0,3.0,3.0,2.0,,1.0,16.0,9.0,38.0,melton,3337
233,2.0,6.0,,9.0,1.0,29.0,7.0,8.0,4.0,,,22.0,9.0,30.0,mernda,3754
234,,,,,,,,,,,,,,,knoxfield,3180
235,22.0,4.0,2.0,12.0,5.0,128.0,11.0,7.0,8.0,1.0,,56.0,20.0,61.0,clayton south,3169
236,22.0,16.0,3.0,26.0,9.0,154.0,17.0,17.0,14.0,,5.0,69.0,40.0,85.0,narre warren,3805
237,5.0,6.0,3.0,12.0,2.0,71.0,9.0,2.0,4.0,,26.0,36.0,12.0,30.0,croydon,3136
238,,,,,,,,,,,,,,,reservoir,3073
239,,1.0,3.0,1.0,,15.0,,,4.0,,,17.0,6.0,12.0,diamond creek,3089
240,11.0,10.0,2.0,20.0,6.0,160.0,14.0,8.0,21.0,,3.0,106.0,57.0,112.0,glen waverley,3150
241,13.0,5.0,1.0,7.0,3.0,59.0,9.0,5.0,5.0,,,46.0,19.0,22.0,mickleham,3064
242,,,,1.0,1.0,8.0,,,1.0,,,15.0,3.0,4.0,forest hill,3131
243,,1.0,,,,,,,,,,,,,boronia,3155
244,49.0,17.0,4.0,46.0,18.0,393.0,43.0,12.0,22.0,2.0,10.0,169.0,83.0,154.0,seabrook,3028
245,,3.0,,1.0,1.0,25.0,,1.0,1.0,,,5.0,4.0,12.0,springvale,3171
246,,,,,,,,,,,,,,,ferntree gully,3156
247,,,,,,1.0,,,,,,,,,hadfield,3046
248,9.0,1.0,,,,6.0,,,,,,16.0,2.0,2.0,noble park,3174
249,,,,,,,,,,,,,,,spotswood,3015
250,2.0,3.0,,2.0,1.0,48.0,4.0,4.0,3.0,,1.0,12.0,4.0,26.0,eaglemont,3084
251,1.0,13.0,,3.0,,18.0,4.0,1.0,1.0,,,4.0,1.0,18.0,hillside,3037
252,19.0,3.0,,9.0,3.0,72.0,4.0,4.0,10.0,,3.0,39.0,19.0,38.0,dromana,3936
253,3.0,,,,,8.0,,,,,,16.0,1.0,2.0,rye,3941
254,3.0,,,2.0,1.0,7.0,1.0,1.0,2.0,,,14.0,6.0,11.0,lalor,3075
255,,10.0,,10.0,,16.0,5.0,4.0,1.0,,,8.0,6.0,2.0,blairgowrie,3942
256,10.0,4.0,,4.0,1.0,87.0,3.0,6.0,12.0,,,15.0,14.0,36.0,viewbank,3084
257,,5.0,,5.0,1.0,28.0,1.0,,5.0,,,9.0,3.0,9.0,campbellfield,3061
258,,,,,,,,,,,,,,,sale,3850
259,4.0,1.0,2.0,,1.0,27.0,1.0,,3.0,1.0,2.0,22.0,7.0,8.0,moe,3825
260,17.0,6.0,,12.0,3.0,41.0,14.0,2.0,4.0,,,19.0,11.0,18.0,south morang,3752
261,,4.0,,2.0,,37.0,1.0,,,,,6.0,,2.0,macleod,3085
262,,,,,,,,,1.0,,,,,,deer park,3023
263,,,,,,,,,,,,,,,laverton north,3026
264,,,,,,,,,,,,3.0,,,clayton north,3169
265,1.0,7.0,,3.0,,25.0,6.0,,,,,1.0,,1.0,sunshine,3020
266,,1.0,,1.0,,10.0,,,1.0,,,3.0,2.0,5.0,merricks beach,3926
267,1.0,,,,,8.0,,1.0,3.0,,1.0,3.0,1.0,1.0,mount buller,3723
268,,,,2.0,,14.0,1.0,,3.0,,,5.0,3.0,5.0,jacana,3047
269,,,,,,13.0,,2.0,4.0,,1.0,21.0,10.0,19.0,princes hill,3054
270,3.0,2.0,,2.0,,34.0,4.0,4.0,3.0,,,6.0,3.0,44.0,kingsbury,3083
271,9.0,8.0,,17.0,2.0,51.0,8.0,5.0,7.0,,,21.0,21.0,36.0,darley,3340
272,1.0,1.0,,7.0,,59.0,1.0,4.0,3.0,,,15.0,12.0,31.0,anglesea,3230
273,,,2.0,1.0,,9.0,1.0,,1.0,,1.0,11.0,8.0,15.0,belmont,3216
274,1.0,,,,,8.0,,,2.0,,,14.0,1.0,10.0,norlane,3214
275,5.0,,,,,21.0,1.0,,3.0,,9.0,17.0,9.0,22.0,diggers rest,3427
276,,,,,2.0,3.0,,,,,2.0,31.0,1.0,2.0,burnside heights,3023
277,1.0,5.0,,8.0,,10.0,5.0,1.0,4.0,,,10.0,8.0,10.0,maddingley,3340
278,1.0,1.0,,,1.0,30.0,2.0,2.0,4.0,,,28.0,2.0,37.0,sanctuary lakes,3030
279,24.0,,,2.0,,19.0,,1.0,4.0,,2.0,13.0,7.0,15.0,rosanna,3084
280,43.0,7.0,2.0,22.0,13.0,124.0,15.0,6.0,18.0,,11.0,110.0,56.0,123.0,kilsyth,3137
281,,,,,,,,,,,,,,,clyde,3978
282,3.0,,,,,6.0,,,,,,,,,narre warren south,3805
283,1.0,,1.0,4.0,,18.0,2.0,2.0,7.0,,,18.0,18.0,9.0,tottenham,3012
284,2.0,1.0,1.0,2.0,1.0,37.0,3.0,2.0,3.0,,1.0,15.0,11.0,16.0,bellfield,3081
285,,,,2.0,2.0,17.0,2.0,3.0,5.0,,,12.0,5.0,14.0,dandenong north,3175
286,,,,,,1.0,,,,,,,,,ringwood east,3135
287,,,,1.0,1.0,1.0,4.0,,,,,1.0,1.0,4.0,doveton,3177
288,,,,,,,,,,,,,,,mambourin,3024
289,,1.0,,5.0,,15.0,2.0,,4.0,,,15.0,2.0,15.0,south kingsville,3015
290,,,,,,,,,,,,,,,officer,3809
291,,,,,,,,,,,,,,,kilmore,3764
292,1.0,1.0,,4.0,1.0,45.0,1.0,1.0,5.0,,,26.0,18.0,53.0,albion,3020
293,1.0,,,,,15.0,,,2.0,,,2.0,,1.0,greensborough,3088
294,,1.0,1.0,2.0,,7.0,,1.0,1.0,,,4.0,,2.0,vermont south,3133
295,5.0,3.0,1.0,9.0,1.0,36.0,2.0,2.0,3.0,,,33.0,15.0,18.0,christmas hills,3775
296,84.0,,1.0,,2.0,118.0,,1.0,10.0,,24.0,35.0,16.0,104.0,kalkallo,3064
297,306.0,16.0,9.0,64.0,9.0,626.0,39.0,3.0,29.0,,259.0,172.0,94.0,249.0,scoresby,3179
298,23.0,,,1.0,1.0,2.0,,,,,,7.0,4.0,4.0,cranbourne east,3977
